Time,t,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0:09:19,9.32,0.086,0.087,0.088,0.095,0.091,0.089,0.09,0.085,0.09,0.09,0.088,0.091
0:19:19,19.32,0.086,0.09,0.089,0.09,0.091,0.092,0.091,0.086,0.092,0.092,0.088,0.09
0:29:19,29.32,0.086,0.088,0.09,0.089,0.089,0.092,0.093,0.087,0.089,0.093,0.089,0.092
0:39:19,39.32,0.088,0.09,0.091,0.09,0.092,0.093,0.096,0.088,0.091,0.093,0.09,0.094
0:49:19,49.32,0.089,0.092,0.093,0.092,0.094,0.096,0.099,0.091,0.093,0.094,0.094,0.096
0:59:19,59.32,0.091,0.094,0.095,0.096,0.098,0.1,0.103,0.094,0.096,0.098,0.096,0.1
1:09:19,69.32,0.094,0.097,0.098,0.099,0.102,0.106,0.109,0.097,0.099,0.103,0.1,0.106
1:19:19,79.32,0.097,0.101,0.102,0.105,0.108,0.109,0.116,0.103,0.105,0.111,0.104,0.112
1:29:19,89.32,0.101,0.106,0.107,0.11,0.117,0.119,0.124,0.108,0.11,0.114,0.111,0.119
1:39:19,99.32,0.106,0.111,0.113,0.117,0.123,0.122,0.133,0.116,0.117,0.122,0.117,0.127
1:49:19,109.32,0.111,0.117,0.119,0.124,0.13,0.129,0.142,0.12,0.124,0.128,0.124,0.136
1:59:19,119.32,0.126,0.125,0.127,0.133,0.14,0.139,0.154,0.129,0.132,0.136,0.132,0.146
2:09:19,129.32,0.128,0.133,0.139,0.142,0.151,0.152,0.167,0.138,0.143,0.149,0.142,0.157
2:19:19,139.32,0.133,0.143,0.146,0.153,0.165,0.163,0.183,0.151,0.15,0.157,0.154,0.171
2:29:19,149.32,0.147,0.153,0.158,0.164,0.177,0.176,0.201,0.163,0.16,0.168,0.166,0.182
2:39:19,159.32,0.16,0.165,0.171,0.179,0.191,0.188,0.216,0.176,0.184,0.181,0.178,0.194
2:49:19,169.32,0.171,0.177,0.185,0.196,0.21,0.2,0.236,0.191,0.188,0.195,0.193,0.207
2:59:19,179.32,0.184,0.191,0.196,0.209,0.222,0.218,0.257,0.202,0.2,0.215,0.204,0.223
3:09:19,189.32,0.186,0.207,0.214,0.227,0.24,0.232,0.28,0.217,0.216,0.227,0.221,0.24
3:19:19,199.32,0.202,0.226,0.227,0.248,0.262,0.252,0.303,0.232,0.239,0.245,0.239,0.258
3:29:19,209.32,0.228,0.248,0.248,0.273,0.283,0.273,0.327,0.253,0.259,0.271,0.259,0.279
3:39:19,219.32,0.236,0.27,0.277,0.294,0.303,0.3,0.345,0.275,0.28,0.29,0.278,0.3
3:49:19,229.32,0.266,0.289,0.299,0.314,0.323,0.317,0.361,0.297,0.297,0.31,0.301,0.321
3:59:19,239.32,0.286,0.308,0.313,0.333,0.336,0.333,0.373,0.319,0.319,0.325,0.319,0.339
4:09:19,249.32,0.303,0.325,0.328,0.35,0.356,0.35,0.388,0.336,0.334,0.339,0.331,0.353
4:19:19,259.32,0.319,0.34,0.354,0.364,0.364,0.365,0.397,0.348,0.347,0.353,0.346,0.367
4:29:19,269.32,0.335,0.354,0.366,0.375,0.377,0.372,0.41,0.361,0.359,0.366,0.358,0.38
4:39:19,279.32,0.343,0.368,0.373,0.385,0.389,0.381,0.419,0.368,0.368,0.371,0.37,0.391
4:49:19,289.32,0.356,0.381,0.388,0.394,0.398,0.395,0.423,0.379,0.379,0.381,0.377,0.405
4:59:19,299.32,0.37,0.392,0.403,0.405,0.414,0.401,0.439,0.393,0.388,0.396,0.389,0.419
5:09:19,309.32,0.379,0.404,0.416,0.419,0.427,0.414,0.449,0.4,0.4,0.406,0.403,0.434
5:19:19,319.32,0.391,0.415,0.43,0.435,0.435,0.428,0.459,0.412,0.413,0.418,0.413,0.447
5:29:19,329.32,0.408,0.425,0.452,0.448,0.439,0.432,0.465,0.423,0.426,0.428,0.425,0.459
5:39:19,339.32,0.42,0.433,0.465,0.456,0.444,0.439,0.473,0.43,0.434,0.435,0.43,0.466
5:49:19,349.32,0.427,0.435,0.463,0.462,0.455,0.447,0.484,0.437,0.438,0.439,0.437,0.473
5:59:19,359.32,0.433,0.445,0.47,0.468,0.461,0.456,0.493,0.448,0.445,0.447,0.445,0.481
6:09:19,369.32,0.442,0.455,0.479,0.478,0.467,0.461,0.5,0.456,0.455,0.457,0.454,0.492
6:19:19,379.32,0.453,0.464,0.491,0.486,0.475,0.468,0.507,0.462,0.464,0.466,0.463,0.5
6:29:19,389.32,0.461,0.474,0.505,0.494,0.484,0.476,0.517,0.47,0.471,0.471,0.47,0.508
6:39:19,399.32,0.466,0.479,0.506,0.502,0.495,0.483,0.529,0.479,0.478,0.48,0.477,0.516
6:49:19,409.32,0.473,0.488,0.516,0.512,0.501,0.493,0.535,0.49,0.487,0.492,0.487,0.527
6:59:19,419.32,0.48,0.497,0.527,0.521,0.505,0.498,0.541,0.497,0.496,0.497,0.496,0.537
7:09:19,429.32,0.49,0.5,0.535,0.529,0.51,0.503,0.546,0.5,0.502,0.502,0.502,0.543
7:19:19,439.32,0.498,0.506,0.543,0.533,0.514,0.506,0.549,0.504,0.508,0.508,0.508,0.549
7:29:19,449.32,0.5,0.508,0.547,0.537,0.517,0.511,0.553,0.507,0.511,0.51,0.51,0.551
7:39:19,459.32,0.508,0.512,0.561,0.541,0.521,0.515,0.557,0.512,0.514,0.514,0.514,0.554
7:49:19,469.32,0.499,0.515,0.562,0.545,0.523,0.518,0.561,0.514,0.518,0.517,0.517,0.558
